sample_id,target,event_id,positive_event_id,source_group,source_task_id,calibration_task_id,sample_kind,tip_offset,reason,label_provenance,anchor_time,input_start_time,input_end_time,image_rel,image_sha256
eth3m_20260329T220900Z_review_original_v10_time_t055_c16,,,p011,calibration_p011_t055,55,16,review_original_v10_time,3,original_v10_time_is_not_owner_confirmed_current_tip_label,withheld_from_train_val_original_v10_not_current_T_confirmation,2026-03-29T22:09:00+00:00,2026-03-29T12:12:00+00:00,2026-03-29T22:09:00+00:00,weak_or_review/review_original_v10_time/eth3m_20260329T220900Z_review_original_v10_time_t055_c16.png,91c60d994e9a542a6183f0618c2ef539214cc88072477148ad982c803af3d442
eth3m_20260329T220900Z_review_tip_offset_+3_t055_c16,,,p011,calibration_p011_t055,55,16,review_tip_offset_+3,3,tip_geometry_offset_is_not_owner_confirmed_current_tip_label,withheld_from_train_val_geometry_offset_not_lifetime,2026-03-29T22:09:00+00:00,2026-03-29T12:12:00+00:00,2026-03-29T22:09:00+00:00,weak_or_review/review_tip_offset_+3/eth3m_20260329T220900Z_review_tip_offset_+3_t055_c16.png,91c60d994e9a542a6183f0618c2ef539214cc88072477148ad982c803af3d442
eth3m_20260330T170000Z_review_tip_offset_-1_t047_c21,,,p012,calibration_p012_t047,47,21,review_tip_offset_-1,-1,tip_geometry_offset_is_not_owner_confirmed_current_tip_label,withheld_from_train_val_geometry_offset_not_lifetime,2026-03-30T17:00:00+00:00,2026-03-30T07:03:00+00:00,2026-03-30T17:00:00+00:00,weak_or_review/review_tip_offset_-1/eth3m_20260330T170000Z_review_tip_offset_-1_t047_c21.png,2e961da9ad97d480b344d4b57ae49bdcd75371c8a2eed2d8f565b90b1497863a
eth3m_20260330T170600Z_review_tip_offset_+1_t047_c21,,,p012,calibration_p012_t047,47,21,review_tip_offset_+1,1,tip_geometry_offset_is_not_owner_confirmed_current_tip_label,withheld_from_train_val_geometry_offset_not_lifetime,2026-03-30T17:06:00+00:00,2026-03-30T07:09:00+00:00,2026-03-30T17:06:00+00:00,weak_or_review/review_tip_offset_+1/eth3m_20260330T170600Z_review_tip_offset_+1_t047_c21.png,bffd010b02f18bbbf771a8d083ff222d31df0a3b9897b6b051b76aa0ed4d3ec4
eth3m_20260330T170900Z_review_tip_offset_+2_t047_c21,,,p012,calibration_p012_t047,47,21,review_tip_offset_+2,2,tip_geometry_offset_is_not_owner_confirmed_current_tip_label,withheld_from_train_val_geometry_offset_not_lifetime,2026-03-30T17:09:00+00:00,2026-03-30T07:12:00+00:00,2026-03-30T17:09:00+00:00,weak_or_review/review_tip_offset_+2/eth3m_20260330T170900Z_review_tip_offset_+2_t047_c21.png,85342746856bd01cd526847305585b87004175cf49de6c1be7a1ce0517cbffd4
eth3m_20260330T171200Z_review_tip_offset_+3_t047_c21,,,p012,calibration_p012_t047,47,21,review_tip_offset_+3,3,tip_geometry_offset_is_not_owner_confirmed_current_tip_label,withheld_from_train_val_geometry_offset_not_lifetime,2026-03-30T17:12:00+00:00,2026-03-30T07:15:00+00:00,2026-03-30T17:12:00+00:00,weak_or_review/review_tip_offset_+3/eth3m_20260330T171200Z_review_tip_offset_+3_t047_c21.png,2cabcbf0e566ff1a0aa85fef7872626f03d953d86a146b6239fc375c85bc0bb1
eth3m_20260330T173600Z_review_original_v10_time_t047_c21,,,p012,calibration_p012_t047,47,21,review_original_v10_time,11,original_v10_time_is_not_owner_confirmed_current_tip_label,withheld_from_train_val_original_v10_not_current_T_confirmation,2026-03-30T17:36:00+00:00,2026-03-30T07:39:00+00:00,2026-03-30T17:36:00+00:00,weak_or_review/review_original_v10_time/eth3m_20260330T173600Z_review_original_v10_time_t047_c21.png,bb35d2ca38b998cadc095a1a246c73d65aeaec1872f99f8df83cf2696c182670
eth3m_20260331T082400Z_review_tip_offset_-1_t130_c24,,,p013,calibration_p013_t130,130,24,review_tip_offset_-1,-1,tip_geometry_offset_is_not_owner_confirmed_current_tip_label,withheld_from_train_val_geometry_offset_not_lifetime,2026-03-31T08:24:00+00:00,2026-03-30T22:27:00+00:00,2026-03-31T08:24:00+00:00,weak_or_review/review_tip_offset_-1/eth3m_20260331T082400Z_review_tip_offset_-1_t130_c24.png,ece4337c33867c256dd510e0322eb9dc5349f552e3533f9113c506f443736b12
eth3m_20260331T083000Z_review_tip_offset_+1_t130_c24,,,p013,calibration_p013_t130,130,24,review_tip_offset_+1,1,tip_geometry_offset_is_not_owner_confirmed_current_tip_label,withheld_from_train_val_geometry_offset_not_lifetime,2026-03-31T08:30:00+00:00,2026-03-30T22:33:00+00:00,2026-03-31T08:30:00+00:00,weak_or_review/review_tip_offset_+1/eth3m_20260331T083000Z_review_tip_offset_+1_t130_c24.png,d7b9bac17e91f78d606f1efdbca9718b617bba27db5156d9a93670c40a5f053a
eth3m_20260331T083300Z_review_tip_offset_+2_t130_c24,,,p013,calibration_p013_t130,130,24,review_tip_offset_+2,2,tip_geometry_offset_is_not_owner_confirmed_current_tip_label,withheld_from_train_val_geometry_offset_not_lifetime,2026-03-31T08:33:00+00:00,2026-03-30T22:36:00+00:00,2026-03-31T08:33:00+00:00,weak_or_review/review_tip_offset_+2/eth3m_20260331T083300Z_review_tip_offset_+2_t130_c24.png,ae49778d5f714abedb91f5bacd5d32b6c11428a1fc4b9e12a37b91461984280b
eth3m_20260331T083600Z_review_tip_offset_+3_t130_c24,,,p013,calibration_p013_t130,130,24,review_tip_offset_+3,3,tip_geometry_offset_is_not_owner_confirmed_current_tip_label,withheld_from_train_val_geometry_offset_not_lifetime,2026-03-31T08:36:00+00:00,2026-03-30T22:39:00+00:00,2026-03-31T08:36:00+00:00,weak_or_review/review_tip_offset_+3/eth3m_20260331T083600Z_review_tip_offset_+3_t130_c24.png,ca1c0f4e6603f85074c3e2fc529c5b315963204956cf508cb330e253e712ac23
eth3m_20260331T084200Z_review_original_v10_time_t130_c24,,,p013,calibration_p013_t130,130,24,review_original_v10_time,5,original_v10_time_is_not_owner_confirmed_current_tip_label,withheld_from_train_val_original_v10_not_current_T_confirmation,2026-03-31T08:42:00+00:00,2026-03-30T22:45:00+00:00,2026-03-31T08:42:00+00:00,weak_or_review/review_original_v10_time/eth3m_20260331T084200Z_review_original_v10_time_t130_c24.png,d041ecd4e4f5e8dfc3d84f14eafec750355ec7b92e73343116d8f1df28649331
eth3m_20260403T122700Z_review_tip_offset_-1_t132_c28,,,p014,calibration_p014_t132,132,28,review_tip_offset_-1,-1,tip_geometry_offset_is_not_owner_confirmed_current_tip_label,withheld_from_train_val_geometry_offset_not_lifetime,2026-04-03T12:27:00+00:00,2026-04-03T02:30:00+00:00,2026-04-03T12:27:00+00:00,weak_or_review/review_tip_offset_-1/eth3m_20260403T122700Z_review_tip_offset_-1_t132_c28.png,08f98b2776cbbfc3b7d7c324250c8bc04a1817f70a00edaffeca34b94660ef0f
eth3m_20260403T123300Z_review_tip_offset_+1_t132_c28,,,p014,calibration_p014_t132,132,28,review_tip_offset_+1,1,tip_geometry_offset_is_not_owner_confirmed_current_tip_label,withheld_from_train_val_geometry_offset_not_lifetime,2026-04-03T12:33:00+00:00,2026-04-03T02:36:00+00:00,2026-04-03T12:33:00+00:00,weak_or_review/review_tip_offset_+1/eth3m_20260403T123300Z_review_tip_offset_+1_t132_c28.png,3ca4b4413e3176ed931b1c4ba097134411304afb0997fddd96e22802fb0ac13c
eth3m_20260403T123600Z_review_tip_offset_+2_t132_c28,,,p014,calibration_p014_t132,132,28,review_tip_offset_+2,2,tip_geometry_offset_is_not_owner_confirmed_current_tip_label,withheld_from_train_val_geometry_offset_not_lifetime,2026-04-03T12:36:00+00:00,2026-04-03T02:39:00+00:00,2026-04-03T12:36:00+00:00,weak_or_review/review_tip_offset_+2/eth3m_20260403T123600Z_review_tip_offset_+2_t132_c28.png,61eab3f6b416f067572bcf4104350ec855386edd2433af81a652c056149b74a5
eth3m_20260403T123900Z_review_tip_offset_+3_t132_c28,,,p014,calibration_p014_t132,132,28,review_tip_offset_+3,3,tip_geometry_offset_is_not_owner_confirmed_current_tip_label,withheld_from_train_val_geometry_offset_not_lifetime,2026-04-03T12:39:00+00:00,2026-04-03T02:42:00+00:00,2026-04-03T12:39:00+00:00,weak_or_review/review_tip_offset_+3/eth3m_20260403T123900Z_review_tip_offset_+3_t132_c28.png,9d3e8160c148693f0ca6a1940c785f213d08699646844d3fd0597bb9b7509975
eth3m_20260403T130600Z_review_original_v10_time_t132_c28,,,p014,calibration_p014_t132,132,28,review_original_v10_time,12,original_v10_time_is_not_owner_confirmed_current_tip_label,withheld_from_train_val_original_v10_not_current_T_confirmation,2026-04-03T13:06:00+00:00,2026-04-03T03:09:00+00:00,2026-04-03T13:06:00+00:00,weak_or_review/review_original_v10_time/eth3m_20260403T130600Z_review_original_v10_time_t132_c28.png,6bf401f1f36525f97567d7e78a4d7e9ce0615b379bd48def0ef4a7aa66174dc0
eth3m_20260406T165100Z_review_tip_offset_-1_t124_c25,,,p015,calibration_p015_t124,124,25,review_tip_offset_-1,-1,tip_geometry_offset_is_not_owner_confirmed_current_tip_label,withheld_from_train_val_geometry_offset_not_lifetime,2026-04-06T16:51:00+00:00,2026-04-06T06:54:00+00:00,2026-04-06T16:51:00+00:00,weak_or_review/review_tip_offset_-1/eth3m_20260406T165100Z_review_tip_offset_-1_t124_c25.png,43f7ae87982e6e105fddebacb360c9fa63244300d07927fba186069ae93b38fa
eth3m_20260406T165700Z_review_tip_offset_+1_t124_c25,,,p015,calibration_p015_t124,124,25,review_tip_offset_+1,1,tip_geometry_offset_is_not_owner_confirmed_current_tip_label,withheld_from_train_val_geometry_offset_not_lifetime,2026-04-06T16:57:00+00:00,2026-04-06T07:00:00+00:00,2026-04-06T16:57:00+00:00,weak_or_review/review_tip_offset_+1/eth3m_20260406T165700Z_review_tip_offset_+1_t124_c25.png,3a4c784a65b6d13faeecd31ee85706b199f7bee63fff890abeaf0503dbd20b47
eth3m_20260406T170000Z_review_original_v10_time_t124_c25,,,p015,calibration_p015_t124,124,25,review_original_v10_time,2,original_v10_time_is_not_owner_confirmed_current_tip_label,withheld_from_train_val_original_v10_not_current_T_confirmation,2026-04-06T17:00:00+00:00,2026-04-06T07:03:00+00:00,2026-04-06T17:00:00+00:00,weak_or_review/review_original_v10_time/eth3m_20260406T170000Z_review_original_v10_time_t124_c25.png,2423d80fbc02442f4b8beca0ce0e908127661fa8f42946c50f071bfb07f5bee2
eth3m_20260406T170000Z_review_tip_offset_+2_t124_c25,,,p015,calibration_p015_t124,124,25,review_tip_offset_+2,2,tip_geometry_offset_is_not_owner_confirmed_current_tip_label,withheld_from_train_val_geometry_offset_not_lifetime,2026-04-06T17:00:00+00:00,2026-04-06T07:03:00+00:00,2026-04-06T17:00:00+00:00,weak_or_review/review_tip_offset_+2/eth3m_20260406T170000Z_review_tip_offset_+2_t124_c25.png,2423d80fbc02442f4b8beca0ce0e908127661fa8f42946c50f071bfb07f5bee2
eth3m_20260406T170300Z_review_tip_offset_+3_t124_c25,,,p015,calibration_p015_t124,124,25,review_tip_offset_+3,3,tip_geometry_offset_is_not_owner_confirmed_current_tip_label,withheld_from_train_val_geometry_offset_not_lifetime,2026-04-06T17:03:00+00:00,2026-04-06T07:06:00+00:00,2026-04-06T17:03:00+00:00,weak_or_review/review_tip_offset_+3/eth3m_20260406T170300Z_review_tip_offset_+3_t124_c25.png,71753a59c62cb97b491df7aa2b68a854aca1cf03bf66a3b399cd7eab14e847dd
eth3m_20260408T132700Z_review_tip_offset_-1_t024_c22,,,p016,calibration_p016_t024,24,22,review_tip_offset_-1,-1,tip_geometry_offset_is_not_owner_confirmed_current_tip_label,withheld_from_train_val_geometry_offset_not_lifetime,2026-04-08T13:27:00+00:00,2026-04-08T03:30:00+00:00,2026-04-08T13:27:00+00:00,weak_or_review/review_tip_offset_-1/eth3m_20260408T132700Z_review_tip_offset_-1_t024_c22.png,7fadc3440a4e1c3da3ec213c879d7b519a568b5eb3d20631f9acd48a3443fd61
eth3m_20260408T133300Z_review_tip_offset_+1_t024_c22,,,p016,calibration_p016_t024,24,22,review_tip_offset_+1,1,tip_geometry_offset_is_not_owner_confirmed_current_tip_label,withheld_from_train_val_geometry_offset_not_lifetime,2026-04-08T13:33:00+00:00,2026-04-08T03:36:00+00:00,2026-04-08T13:33:00+00:00,weak_or_review/review_tip_offset_+1/eth3m_20260408T133300Z_review_tip_offset_+1_t024_c22.png,04983fa6382e0095fb82014a6438ea63b0341487858c291552cbbca6c949ac6d
eth3m_20260408T133600Z_review_tip_offset_+2_t024_c22,,,p016,calibration_p016_t024,24,22,review_tip_offset_+2,2,tip_geometry_offset_is_not_owner_confirmed_current_tip_label,withheld_from_train_val_geometry_offset_not_lifetime,2026-04-08T13:36:00+00:00,2026-04-08T03:39:00+00:00,2026-04-08T13:36:00+00:00,weak_or_review/review_tip_offset_+2/eth3m_20260408T133600Z_review_tip_offset_+2_t024_c22.png,77636e783a263e9a3ef5ce91c26db9ac23f06ffac9ca95a87070aeaa4082e26e
eth3m_20260408T133900Z_review_tip_offset_+3_t024_c22,,,p016,calibration_p016_t024,24,22,review_tip_offset_+3,3,tip_geometry_offset_is_not_owner_confirmed_current_tip_label,withheld_from_train_val_geometry_offset_not_lifetime,2026-04-08T13:39:00+00:00,2026-04-08T03:42:00+00:00,2026-04-08T13:39:00+00:00,weak_or_review/review_tip_offset_+3/eth3m_20260408T133900Z_review_tip_offset_+3_t024_c22.png,77a4e5f007543922f16af9db3ae0641b35a9b8a6c6d4e18706279770afccbf74
eth3m_20260408T134200Z_review_original_v10_time_t024_c22,,,p016,calibration_p016_t024,24,22,review_original_v10_time,4,original_v10_time_is_not_owner_confirmed_current_tip_label,withheld_from_train_val_original_v10_not_current_T_confirmation,2026-04-08T13:42:00+00:00,2026-04-08T03:45:00+00:00,2026-04-08T13:42:00+00:00,weak_or_review/review_original_v10_time/eth3m_20260408T134200Z_review_original_v10_time_t024_c22.png,1f15152bc2f62bec88def27104c70501261e49acbc5acb658f82837527154efe
eth3m_20260408T222100Z_review_tip_offset_-1_t025_c18,,,p017,calibration_p017_t025,25,18,review_tip_offset_-1,-1,tip_geometry_offset_is_not_owner_confirmed_current_tip_label,withheld_from_train_val_geometry_offset_not_lifetime,2026-04-08T22:21:00+00:00,2026-04-08T12:24:00+00:00,2026-04-08T22:21:00+00:00,weak_or_review/review_tip_offset_-1/eth3m_20260408T222100Z_review_tip_offset_-1_t025_c18.png,646cfcb2fc51d092ed95d7fe36db77e2d3491f1630672d2ffc751e35f91c7d39
eth3m_20260408T222700Z_review_tip_offset_+1_t025_c18,,,p017,calibration_p017_t025,25,18,review_tip_offset_+1,1,tip_geometry_offset_is_not_owner_confirmed_current_tip_label,withheld_from_train_val_geometry_offset_not_lifetime,2026-04-08T22:27:00+00:00,2026-04-08T12:30:00+00:00,2026-04-08T22:27:00+00:00,weak_or_review/review_tip_offset_+1/eth3m_20260408T222700Z_review_tip_offset_+1_t025_c18.png,b5fe0f077ce08c32235d0545d0d5bc03d9f44514c471932dacb4350fc22cbf2e
eth3m_20260408T223000Z_review_tip_offset_+2_t025_c18,,,p017,calibration_p017_t025,25,18,review_tip_offset_+2,2,tip_geometry_offset_is_not_owner_confirmed_current_tip_label,withheld_from_train_val_geometry_offset_not_lifetime,2026-04-08T22:30:00+00:00,2026-04-08T12:33:00+00:00,2026-04-08T22:30:00+00:00,weak_or_review/review_tip_offset_+2/eth3m_20260408T223000Z_review_tip_offset_+2_t025_c18.png,9964356a93a8f48b95bc68907d25ebbb50a24980a855f3de5b1cd861e0dc25a7
eth3m_20260408T223300Z_review_tip_offset_+3_t025_c18,,,p017,calibration_p017_t025,25,18,review_tip_offset_+3,3,tip_geometry_offset_is_not_owner_confirmed_current_tip_label,withheld_from_train_val_geometry_offset_not_lifetime,2026-04-08T22:33:00+00:00,2026-04-08T12:36:00+00:00,2026-04-08T22:33:00+00:00,weak_or_review/review_tip_offset_+3/eth3m_20260408T223300Z_review_tip_offset_+3_t025_c18.png,3766782c6d165631f7ccaf25672a148573ecea20acbe43c4b46f90bb8f1c9002
eth3m_20260408T230000Z_review_original_v10_time_t025_c18,,,p017,calibration_p017_t025,25,18,review_original_v10_time,12,original_v10_time_is_not_owner_confirmed_current_tip_label,withheld_from_train_val_original_v10_not_current_T_confirmation,2026-04-08T23:00:00+00:00,2026-04-08T13:03:00+00:00,2026-04-08T23:00:00+00:00,weak_or_review/review_original_v10_time/eth3m_20260408T230000Z_review_original_v10_time_t025_c18.png,99617619d0e69c622692337ad49422bc5e047a3a1f17160f556539044dc8d141
eth3m_20260409T224200Z_review_tip_offset_-1_t191_c01,,,p018,calibration_p018_t191,191,1,review_tip_offset_-1,-1,tip_geometry_offset_is_not_owner_confirmed_current_tip_label,withheld_from_train_val_geometry_offset_not_lifetime,2026-04-09T22:42:00+00:00,2026-04-09T12:45:00+00:00,2026-04-09T22:42:00+00:00,weak_or_review/review_tip_offset_-1/eth3m_20260409T224200Z_review_tip_offset_-1_t191_c01.png,24ffd3eb0859eb0f3487373d07004113f219854c11ef674dbe88ec15d9a9217b
eth3m_20260409T224800Z_review_tip_offset_+1_t191_c01,,,p018,calibration_p018_t191,191,1,review_tip_offset_+1,1,tip_geometry_offset_is_not_owner_confirmed_current_tip_label,withheld_from_train_val_geometry_offset_not_lifetime,2026-04-09T22:48:00+00:00,2026-04-09T12:51:00+00:00,2026-04-09T22:48:00+00:00,weak_or_review/review_tip_offset_+1/eth3m_20260409T224800Z_review_tip_offset_+1_t191_c01.png,88a0db9cd95b819b8f5217095fa005b03f864b1ddc0dd6b91fcd02bf77b7e108
eth3m_20260409T225100Z_review_tip_offset_+2_t191_c01,,,p018,calibration_p018_t191,191,1,review_tip_offset_+2,2,tip_geometry_offset_is_not_owner_confirmed_current_tip_label,withheld_from_train_val_geometry_offset_not_lifetime,2026-04-09T22:51:00+00:00,2026-04-09T12:54:00+00:00,2026-04-09T22:51:00+00:00,weak_or_review/review_tip_offset_+2/eth3m_20260409T225100Z_review_tip_offset_+2_t191_c01.png,e8dedc9053111828510635d54ed8c7f4ed5bc3187cf456d899f4e08157574578
eth3m_20260409T225400Z_review_tip_offset_+3_t191_c01,,,p018,calibration_p018_t191,191,1,review_tip_offset_+3,3,tip_geometry_offset_is_not_owner_confirmed_current_tip_label,withheld_from_train_val_geometry_offset_not_lifetime,2026-04-09T22:54:00+00:00,2026-04-09T12:57:00+00:00,2026-04-09T22:54:00+00:00,weak_or_review/review_tip_offset_+3/eth3m_20260409T225400Z_review_tip_offset_+3_t191_c01.png,07db1c1c39ecb0081cd0dda0204e4af73bd4c8aa0b4800af1209d2890da4a4cd
eth3m_20260409T231500Z_review_original_v10_time_t191_c01,,,p018,calibration_p018_t191,191,1,review_original_v10_time,10,original_v10_time_is_not_owner_confirmed_current_tip_label,withheld_from_train_val_original_v10_not_current_T_confirmation,2026-04-09T23:15:00+00:00,2026-04-09T13:18:00+00:00,2026-04-09T23:15:00+00:00,weak_or_review/review_original_v10_time/eth3m_20260409T231500Z_review_original_v10_time_t191_c01.png,84ed8b21dda6e7c92a68eccb5f6f3e9536e7adbb28709e7309aa9dc4080ec385
eth3m_20260414T143600Z_review_tip_offset_-1_t091_c11,,,p019,calibration_p019_t091,91,11,review_tip_offset_-1,-1,tip_geometry_offset_is_not_owner_confirmed_current_tip_label,withheld_from_train_val_geometry_offset_not_lifetime,2026-04-14T14:36:00+00:00,2026-04-14T04:39:00+00:00,2026-04-14T14:36:00+00:00,weak_or_review/review_tip_offset_-1/eth3m_20260414T143600Z_review_tip_offset_-1_t091_c11.png,ae9a46bb46b399a6bc997420db75134fd33dbbf130a10083d0e008a8709031c6
eth3m_20260414T144200Z_review_tip_offset_+1_t091_c11,,,p019,calibration_p019_t091,91,11,review_tip_offset_+1,1,tip_geometry_offset_is_not_owner_confirmed_current_tip_label,withheld_from_train_val_geometry_offset_not_lifetime,2026-04-14T14:42:00+00:00,2026-04-14T04:45:00+00:00,2026-04-14T14:42:00+00:00,weak_or_review/review_tip_offset_+1/eth3m_20260414T144200Z_review_tip_offset_+1_t091_c11.png,9ca7e22f1d4f2f77b42204de3c6684b69221d78cacc680ca2430c7b08faf7265
eth3m_20260414T144500Z_review_tip_offset_+2_t091_c11,,,p019,calibration_p019_t091,91,11,review_tip_offset_+2,2,tip_geometry_offset_is_not_owner_confirmed_current_tip_label,withheld_from_train_val_geometry_offset_not_lifetime,2026-04-14T14:45:00+00:00,2026-04-14T04:48:00+00:00,2026-04-14T14:45:00+00:00,weak_or_review/review_tip_offset_+2/eth3m_20260414T144500Z_review_tip_offset_+2_t091_c11.png,932ba46dd45a10d0443ecb3e13193061f8a6fe6ab67837deff2b891b4af6c021
eth3m_20260414T144800Z_review_tip_offset_+3_t091_c11,,,p019,calibration_p019_t091,91,11,review_tip_offset_+3,3,tip_geometry_offset_is_not_owner_confirmed_current_tip_label,withheld_from_train_val_geometry_offset_not_lifetime,2026-04-14T14:48:00+00:00,2026-04-14T04:51:00+00:00,2026-04-14T14:48:00+00:00,weak_or_review/review_tip_offset_+3/eth3m_20260414T144800Z_review_tip_offset_+3_t091_c11.png,05af83b0234dc0931857a8a631a71ab32129905d6540ca617f4e11765c112c83
eth3m_20260414T145100Z_review_original_v10_time_t091_c11,,,p019,calibration_p019_t091,91,11,review_original_v10_time,4,original_v10_time_is_not_owner_confirmed_current_tip_label,withheld_from_train_val_original_v10_not_current_T_confirmation,2026-04-14T14:51:00+00:00,2026-04-14T04:54:00+00:00,2026-04-14T14:51:00+00:00,weak_or_review/review_original_v10_time/eth3m_20260414T145100Z_review_original_v10_time_t091_c11.png,153b92135cc0de239c7dfc089caaf0cd17016a67e178dee89441f71b4c69a113
eth3m_20260414T161500Z_review_tip_offset_-1_t153_c23,,,p019,calibration_p019_t153,153,23,review_tip_offset_-1,-1,tip_geometry_offset_is_not_owner_confirmed_current_tip_label,withheld_from_train_val_geometry_offset_not_lifetime,2026-04-14T16:15:00+00:00,2026-04-14T06:18:00+00:00,2026-04-14T16:15:00+00:00,weak_or_review/review_tip_offset_-1/eth3m_20260414T161500Z_review_tip_offset_-1_t153_c23.png,5c37e1d4a6997d9f9c2788a8360daa13663ab455cfc3c13849345db75dd2ff47
eth3m_20260414T162100Z_review_tip_offset_+1_t153_c23,,,p019,calibration_p019_t153,153,23,review_tip_offset_+1,1,tip_geometry_offset_is_not_owner_confirmed_current_tip_label,withheld_from_train_val_geometry_offset_not_lifetime,2026-04-14T16:21:00+00:00,2026-04-14T06:24:00+00:00,2026-04-14T16:21:00+00:00,weak_or_review/review_tip_offset_+1/eth3m_20260414T162100Z_review_tip_offset_+1_t153_c23.png,9e2e83f3bee75fe21d9893a834c922af86ff815f76a294b53f3084ef2fee9838
eth3m_20260414T162400Z_review_tip_offset_+2_t153_c23,,,p019,calibration_p019_t153,153,23,review_tip_offset_+2,2,tip_geometry_offset_is_not_owner_confirmed_current_tip_label,withheld_from_train_val_geometry_offset_not_lifetime,2026-04-14T16:24:00+00:00,2026-04-14T06:27:00+00:00,2026-04-14T16:24:00+00:00,weak_or_review/review_tip_offset_+2/eth3m_20260414T162400Z_review_tip_offset_+2_t153_c23.png,240d8bafb680b9367e3bda3be19d0257cbef2231ced52eb1eb94b090992c1c93
eth3m_20260414T162700Z_review_tip_offset_+3_t153_c23,,,p019,calibration_p019_t153,153,23,review_tip_offset_+3,3,tip_geometry_offset_is_not_owner_confirmed_current_tip_label,withheld_from_train_val_geometry_offset_not_lifetime,2026-04-14T16:27:00+00:00,2026-04-14T06:30:00+00:00,2026-04-14T16:27:00+00:00,weak_or_review/review_tip_offset_+3/eth3m_20260414T162700Z_review_tip_offset_+3_t153_c23.png,bbcc6f626000349a2cb2471eb63da5c5d4f1cdda72b4e525056a84fc4672b7b0
eth3m_20260414T165700Z_review_original_v10_time_t153_c23,,,p019,calibration_p019_t153,153,23,review_original_v10_time,13,original_v10_time_is_not_owner_confirmed_current_tip_label,withheld_from_train_val_original_v10_not_current_T_confirmation,2026-04-14T16:57:00+00:00,2026-04-14T07:00:00+00:00,2026-04-14T16:57:00+00:00,weak_or_review/review_original_v10_time/eth3m_20260414T165700Z_review_original_v10_time_t153_c23.png,571afe069a063aa9dcc594a1a7f83e55f06f859097997a5b6d74f3859fd28f8b
eth3m_20260416T133900Z_review_tip_offset_-1_t090_c02,,,p020,calibration_p020_t090,90,2,review_tip_offset_-1,-1,tip_geometry_offset_is_not_owner_confirmed_current_tip_label,withheld_from_train_val_geometry_offset_not_lifetime,2026-04-16T13:39:00+00:00,2026-04-16T03:42:00+00:00,2026-04-16T13:39:00+00:00,weak_or_review/review_tip_offset_-1/eth3m_20260416T133900Z_review_tip_offset_-1_t090_c02.png,0748d77a0611479c33d3ec45ca51e19e74c7bca448ba3b8bda5aae1cdc5294ba
eth3m_20260416T134500Z_review_tip_offset_+1_t090_c02,,,p020,calibration_p020_t090,90,2,review_tip_offset_+1,1,tip_geometry_offset_is_not_owner_confirmed_current_tip_label,withheld_from_train_val_geometry_offset_not_lifetime,2026-04-16T13:45:00+00:00,2026-04-16T03:48:00+00:00,2026-04-16T13:45:00+00:00,weak_or_review/review_tip_offset_+1/eth3m_20260416T134500Z_review_tip_offset_+1_t090_c02.png,0ef17c0a0d37b2cd1e923b65ba7c6282cc8ff3b7387f8a6d01308bb75587e3d5
eth3m_20260416T134800Z_review_tip_offset_+2_t090_c02,,,p020,calibration_p020_t090,90,2,review_tip_offset_+2,2,tip_geometry_offset_is_not_owner_confirmed_current_tip_label,withheld_from_train_val_geometry_offset_not_lifetime,2026-04-16T13:48:00+00:00,2026-04-16T03:51:00+00:00,2026-04-16T13:48:00+00:00,weak_or_review/review_tip_offset_+2/eth3m_20260416T134800Z_review_tip_offset_+2_t090_c02.png,84c3413883aaf9dc7e95001c165d12fd644d75b5db90d7e022a2b81b2bc1fab6
eth3m_20260416T135100Z_review_tip_offset_+3_t090_c02,,,p020,calibration_p020_t090,90,2,review_tip_offset_+3,3,tip_geometry_offset_is_not_owner_confirmed_current_tip_label,withheld_from_train_val_geometry_offset_not_lifetime,2026-04-16T13:51:00+00:00,2026-04-16T03:54:00+00:00,2026-04-16T13:51:00+00:00,weak_or_review/review_tip_offset_+3/eth3m_20260416T135100Z_review_tip_offset_+3_t090_c02.png,2fd1adda8355befbef093c3c9802b1de8bc6efe0be6d1febf61b839899b65d06
eth3m_20260416T140600Z_review_original_v10_time_t090_c02,,,p020,calibration_p020_t090,90,2,review_original_v10_time,8,original_v10_time_is_not_owner_confirmed_current_tip_label,withheld_from_train_val_original_v10_not_current_T_confirmation,2026-04-16T14:06:00+00:00,2026-04-16T04:09:00+00:00,2026-04-16T14:06:00+00:00,weak_or_review/review_original_v10_time/eth3m_20260416T140600Z_review_original_v10_time_t090_c02.png,5472028dbd9d4748f0c09b9fa91ce945fab7f70d81a95e6e3d9b0ac4dffe8f92
eth3m_20260418T073600Z_review_tip_offset_-1_t169_c09,,,p021,calibration_p021_t169,169,9,review_tip_offset_-1,-1,tip_geometry_offset_is_not_owner_confirmed_current_tip_label,withheld_from_train_val_geometry_offset_not_lifetime,2026-04-18T07:36:00+00:00,2026-04-17T21:39:00+00:00,2026-04-18T07:36:00+00:00,weak_or_review/review_tip_offset_-1/eth3m_20260418T073600Z_review_tip_offset_-1_t169_c09.png,0b4f303f1df1416c5a5ce205e41dae540597d14d31ced075b201284656ed724f
