编号,币种,周期,入场时间UTC,退出根或末根开盘UTC,未平仓数据末端收盘UTC,入场价,初始止损,退出价,净R,路径分类,为何退出,当时与后续事实,待验证不足,交易唯一键
T063,FILUSDT,15m,2024-12-28 15:15:00+00:00,2024-12-29 10:45:00+00:00,,5.056,4.992,5.1266,0.9451250000000028,盈利保护退出,持仓第79根K，最低价5.125触及当时已生效保护价5.1266；按追踪止损在5.1266退出，扣费后净+0.95R。,距V9 3根，较父V9独立模拟入场价-0.24%；初始风险1.27%（1.97个信号ATR），往返成本0.158R。 入场信号收盘在六均线上方，IMACD向上且增强，相对成交量1.42倍。 原账本最大浮盈3.55R；5分钟审计得到实际止损前浮盈范围3.55–3.55R（若上下界不同，触及止损的5分钟内先后未知）。 已收盘触及2R并激活追踪；退出时保护在入场价+1.10R，激活不保证保本。 退出下一根起48根内，最高回到原入场+1.81R，最低到-2.25R。,作为盈利对照保留：任何更早止盈/更严过滤都需计算会损失多少这类赢家,binance_um:FILUSDT:15m:box_any:12024
T064,ETHUSDT,15m,2024-12-28 18:15:00+00:00,2024-12-29 14:30:00+00:00,,3387.73,3362.99,3362.99,-1.2738666127728404,到过1R后回吐,持仓第82根K，最低价3352.84触及当时已生效保护价3362.99；按初始止损在3362.99退出，扣费后净-1.27R。,距V9 16根，较父V9独立模拟入场价+0.23%；初始风险0.73%（2.00个信号ATR），往返成本0.274R。 入场信号收盘在六均线上方，IMACD向上且增强，相对成交量0.99倍。 原账本最大浮盈1.61R；5分钟审计得到实际止损前浮盈范围1.61–1.61R（若上下界不同，触及止损的5分钟内先后未知）。 退出前最高收盘0.87R，未收盘达到2R，原追踪未激活。 退出下一根起48根内，最高回到原入场+1.99R，最低到-2.55R。,已比V9入场更贵，需评估确认收益能否覆盖追价代价；退出后48根内曾回到+1R；属事后重启机会，不能证明放宽原止损会赚钱,binance_um:ETHUSDT:15m:box_any:12036
T065,SOLUSDT,15m,2024-12-28 18:15:00+00:00,2024-12-29 17:00:00+00:00,,194.21,192.19,192.19,-1.1922871287128722,到过1R后回吐,持仓第92根K，最低价192.03触及当时已生效保护价192.19；按初始止损在192.19退出，扣费后净-1.19R。,距V9 19根，较父V9独立模拟入场价+3.44%；初始风险1.04%（1.99个信号ATR），往返成本0.192R。 入场信号收盘在六均线上方，IMACD向上且增强，相对成交量1.88倍。 原账本最大浮盈1.72R；5分钟审计得到实际止损前浮盈范围1.72–1.72R（若上下界不同，触及止损的5分钟内先后未知）。 退出前最高收盘1.33R，未收盘达到2R，原追踪未激活。 退出下一根起48根内，最高回到原入场+0.08R，最低到-2.83R。,已比V9入场更贵，需评估确认收益能否覆盖追价代价,binance_um:SOLUSDT:15m:box_any:12036
T066,ETHUSDT,15m,2024-12-30 01:45:00+00:00,2024-12-30 13:15:00+00:00,,3417.7,3364.33,3364.33,-1.128075697957653,推进不足后止损,持仓第47根K，最低价3363.93触及当时已生效保护价3364.33；按初始止损在3364.33退出，扣费后净-1.13R。,距V9 2根，较父V9独立模拟入场价+0.91%；初始风险1.56%（2.98个信号ATR），往返成本0.128R。 入场信号收盘在六均线上方，IMACD未同时满足向上和增强，相对成交量2.22倍。 原账本最大浮盈0.30R；5分钟审计得到实际止损前浮盈范围0.30–0.30R（若上下界不同，触及止损的5分钟内先后未知）。 退出前最高收盘0.23R，未收盘达到2R，原追踪未激活。 退出下一根起48根内，最高回到原入场+0.03R，最低到-2.16R。,已比V9入场更贵，需评估确认收益能否覆盖追价代价；突破当时支撑或动能不完整，但此前单加六均线门未改善全池，不能直接套门,binance_um:ETHUSDT:15m:box_any:12162
T067,ONEUSDT,15m,2025-01-01 16:00:00+00:00,2025-01-02 22:15:00+00:00,,0.02711,0.0263796,0.0283772999999999,1.660843373493975,盈利保护退出,持仓第122根K，最低价0.02815触及当时已生效保护价0.0283773；按追踪止损在0.0283773退出，扣费后净+1.66R。,距V9 13根，较父V9独立模拟入场价+1.69%；初始风险2.69%（2.90个信号ATR），往返成本0.074R。 入场信号收盘在六均线上方，IMACD向上且增强，相对成交量1.68倍。 原账本最大浮盈3.74R；5分钟审计得到实际止损前浮盈范围3.74–3.74R（若上下界不同，触及止损的5分钟内先后未知）。 已收盘触及2R并激活追踪；退出时保护在入场价+1.74R，激活不保证保本。 退出下一根起48根内，最高回到原入场+2.45R，最低到+1.15R。,已比V9入场更贵，需评估确认收益能否覆盖追价代价；作为盈利对照保留：任何更早止盈/更严过滤都需计算会损失多少这类赢家,binance_um:ONEUSDT:15m:box_any:12411
T068,ENAUSDT,15m,2025-01-01 23:15:00+00:00,2025-01-02 22:00:00+00:00,,0.9599,0.94523,1.02508,4.31221540558968,盈利保护退出,持仓第92根K，最低价1.0243触及当时已生效保护价1.02508；按追踪止损在1.02508退出，扣费后净+4.31R。,距V9 16根，较父V9独立模拟入场价+1.73%；初始风险1.53%（2.00个信号ATR），往返成本0.131R。 入场信号收盘在六均线上方，IMACD向上且增强，相对成交量0.58倍。 原账本最大浮盈8.07R；5分钟审计得到实际止损前浮盈范围8.07–8.07R（若上下界不同，触及止损的5分钟内先后未知）。 已收盘触及2R并激活追踪；退出时保护在入场价+4.44R，激活不保证保本。 退出下一根起48根内，最高回到原入场+7.33R，最低到+4.13R。,已比V9入场更贵，需评估确认收益能否覆盖追价代价；识别突破时本周期收盘已低于至少一条冻结投影线，需核查多周期确认时差；作为盈利对照保留：任何更早止盈/更严过滤都需计算会损失多少这类赢家,binance_um:ENAUSDT:15m:box_any:12440
T069,BTCUSDT,15m,2025-01-06 03:15:00+00:00,2025-01-07 11:30:00+00:00,,98929.9,98331.6,101192.8,3.451512953367974,盈利保护退出,持仓第130根K，最低价100565触及当时已生效保护价101193；按追踪止损在101193退出，扣费后净+3.45R。,距V9 4根，较父V9独立模拟入场价-0.07%；初始风险0.60%（2.00个信号ATR），往返成本0.331R。 入场信号收盘在六均线上方，IMACD向上且增强，相对成交量0.60倍。 原账本最大浮盈6.41R；5分钟审计得到实际止损前浮盈范围6.41–6.41R（若上下界不同，触及止损的5分钟内先后未知）。 已收盘触及2R并激活追踪；退出时保护在入场价+3.78R，激活不保证保本。 退出下一根起48根内，最高回到原入场+3.32R，最低到-4.64R。,作为盈利对照保留：任何更早止盈/更严过滤都需计算会损失多少这类赢家,binance_um:BTCUSDT:15m:box_any:12840
T070,1000PEPEUSDT,15m,2025-01-06 05:45:00+00:00,2025-01-06 07:00:00+00:00,,0.0210043,0.0207534999999999,0.0207534999999999,-1.1674984051036654,推进不足后止损,持仓第6根K，最低价0.0206438触及当时已生效保护价0.0207535；按初始止损在0.0207535退出，扣费后净-1.17R。,距V9 13根，较父V9独立模拟入场价+0.75%；初始风险1.19%（2.10个信号ATR），往返成本0.167R。 入场信号收盘在六均线上方，IMACD向上且增强，相对成交量1.79倍。 原账本最大浮盈0.25R；5分钟审计得到实际止损前浮盈范围0.25–0.25R（若上下界不同，触及止损的5分钟内先后未知）。 退出前最高收盘-0.26R，未收盘达到2R，原追踪未激活。 退出下一根起48根内，最高回到原入场+1.55R，最低到-2.39R。,已比V9入场更贵，需评估确认收益能否覆盖追价代价；退出后48根内曾回到+1R；属事后重启机会，不能证明放宽原止损会赚钱,binance_um:1000PEPEUSDT:15m:box_any:12850
T071,SOLUSDT,15m,2025-01-06 15:15:00+00:00,2025-01-07 03:00:00+00:00,,221.73,216.33,216.33,-1.082122222222222,推进不足后止损,持仓第48根K，最低价216.09触及当时已生效保护价216.33；按初始止损在216.33退出，扣费后净-1.08R。,距V9 5根，较父V9独立模拟入场价+1.43%；初始风险2.44%（3.92个信号ATR），往返成本0.082R。 入场信号收盘在六均线上方，IMACD向上且增强，相对成交量3.29倍。 原账本最大浮盈0.26R；5分钟审计得到实际止损前浮盈范围0.26–0.26R（若上下界不同，触及止损的5分钟内先后未知）。 退出前最高收盘0.17R，未收盘达到2R，原追踪未激活。 退出下一根起48根内，最高回到原入场-0.77R，最低到-2.62R。,已比V9入场更贵，需评估确认收益能否覆盖追价代价,binance_um:SOLUSDT:15m:box_any:12888
T072,BOMEUSDT,15m,2025-01-06 17:15:00+00:00,2025-01-07 02:45:00+00:00,,0.007022,0.0068937,0.0068937,-1.1094621979734978,推进不足后止损,持仓第39根K，最低价0.006856触及当时已生效保护价0.0068937；按初始止损在0.0068937退出，扣费后净-1.11R。,距V9 5根，较父V9独立模拟入场价-0.86%；初始风险1.83%（2.00个信号ATR），往返成本0.109R。 入场信号收盘在六均线上方，IMACD向上且增强，相对成交量1.17倍。 原账本最大浮盈0.32R；5分钟审计得到实际止损前浮盈范围0.32–0.32R（若上下界不同，触及止损的5分钟内先后未知）。 退出前最高收盘0.22R，未收盘达到2R，原追踪未激活。 退出下一根起48根内，最高回到原入场-0.76R，最低到-4.54R。,识别突破时本周期收盘已低于至少一条冻结投影线，需核查多周期确认时差,binance_um:BOMEUSDT:15m:box_any:12896
T073,ZENUSDT,15m,2025-01-07 09:00:00+00:00,2025-01-07 10:00:00+00:00,,29.237,28.744,28.744,-1.1186085192697743,推进不足后止损,持仓第5根K，最低价28.63触及当时已生效保护价28.744；按初始止损在28.744退出，扣费后净-1.12R。,距V9 9根，较父V9独立模拟入场价+1.92%；初始风险1.69%（1.99个信号ATR），往返成本0.119R。 入场信号收盘在六均线上方，IMACD向上且增强，相对成交量2.18倍。 原账本最大浮盈0.91R；5分钟审计得到实际止损前浮盈范围0.91–0.91R（若上下界不同，触及止损的5分钟内先后未知）。 退出前最高收盘0.71R，未收盘达到2R，原追踪未激活。 退出下一根起48根内，最高回到原入场-1.09R，最低到-11.26R。,已比V9入场更贵，需评估确认收益能否覆盖追价代价,binance_um:ZENUSDT:15m:box_any:12959
T074,ZECUSDT,15m,2025-01-11 20:45:00+00:00,2025-01-13 02:45:00+00:00,,48.1,47.2,47.2,-1.106888888888888,到过1R后回吐,持仓第121根K，最低价47.07触及当时已生效保护价47.2；按初始止损在47.2退出，扣费后净-1.11R。,距V9 0根，较父V9独立模拟入场价+0.00%；初始风险1.87%（3.85个信号ATR），往返成本0.107R。 入场信号收盘在六均线上方，IMACD向上且增强，相对成交量1.97倍。 原账本最大浮盈1.58R；5分钟审计得到实际止损前浮盈范围1.58–1.58R（若上下界不同，触及止损的5分钟内先后未知）。 退出前最高收盘1.41R，未收盘达到2R，原追踪未激活。 退出下一根起48根内，最高回到原入场-0.36R，最低到-4.71R。,当前事实不足以提出特定改法；先保留原规则作为对照。,binance_um:ZECUSDT:15m:box_any:13390
T075,ZENUSDT,15m,2025-01-11 21:30:00+00:00,2025-01-12 03:30:00+00:00,,24.449,23.466,23.466,-1.049743641912512,推进不足后止损,持仓第25根K，最低价23.432触及当时已生效保护价23.466；按初始止损在23.466退出，扣费后净-1.05R。,距V9 0根，较父V9独立模拟入场价+0.00%；初始风险4.02%（4.98个信号ATR），往返成本0.050R。 入场信号收盘在六均线上方，IMACD向上且增强，相对成交量3.41倍。 原账本最大浮盈0.50R；5分钟审计得到实际止损前浮盈范围0.50–0.50R（若上下界不同，触及止损的5分钟内先后未知）。 退出前最高收盘0.41R，未收盘达到2R，原追踪未激活。 退出下一根起48根内，最高回到原入场-0.64R，最低到-1.40R。,当前事实不足以提出特定改法；先保留原规则作为对照。,binance_um:ZENUSDT:15m:box_any:13393
T076,ARBUSDT,15m,2025-01-11 21:45:00+00:00,2025-01-12 06:45:00+00:00,,0.755,0.7334400000000001,0.7334400000000001,-1.0700371057513915,推进不足后止损,持仓第37根K，最低价0.732触及当时已生效保护价0.73344；按初始止损在0.73344退出，扣费后净-1.07R。,距V9 2根，较父V9独立模拟入场价+0.23%；初始风险2.86%（4.51个信号ATR），往返成本0.070R。 入场信号收盘在六均线上方，IMACD未同时满足向上和增强，相对成交量1.48倍。 原账本最大浮盈0.26R；5分钟审计得到实际止损前浮盈范围0.26–0.26R（若上下界不同，触及止损的5分钟内先后未知）。 退出前最高收盘0.13R，未收盘达到2R，原追踪未激活。 退出下一根起48根内，最高回到原入场-0.15R，最低到-1.54R。,已比V9入场更贵，需评估确认收益能否覆盖追价代价；突破当时支撑或动能不完整，但此前单加六均线门未改善全池，不能直接套门,binance_um:ARBUSDT:15m:box_any:13394
T077,ETHUSDT,15m,2025-01-13 00:45:00+00:00,2025-01-13 02:30:00+00:00,,3318.13,3246.3,3246.3,-1.0923884170959195,推进不足后止损,持仓第8根K，最低价3241.11触及当时已生效保护价3246.3；按初始止损在3246.3退出，扣费后净-1.09R。,距V9 1根，较父V9独立模拟入场价+0.47%；初始风险2.16%（4.71个信号ATR），往返成本0.092R。 入场信号收盘在六均线上方，IMACD未同时满足向上和增强，相对成交量14.13倍。 原账本最大浮盈0.04R；5分钟审计得到实际止损前浮盈范围0.04–0.04R（若上下界不同，触及止损的5分钟内先后未知）。 退出前最高收盘-0.15R，未收盘达到2R，原追踪未激活。 退出下一根起48根内，最高回到原入场-0.73R，最低到-5.82R。,已比V9入场更贵，需评估确认收益能否覆盖追价代价；突破当时支撑或动能不完整，但此前单加六均线门未改善全池，不能直接套门,binance_um:ETHUSDT:15m:box_any:13502
T078,WIFUSDT,15m,2025-01-13 00:45:00+00:00,2025-01-13 01:45:00+00:00,,1.5801,1.5351,1.5351,-1.070226666666667,推进不足后止损,持仓第5根K，最低价1.531触及当时已生效保护价1.5351；按初始止损在1.5351退出，扣费后净-1.07R。,距V9 0根，较父V9独立模拟入场价+0.00%；初始风险2.85%（3.39个信号ATR），往返成本0.070R。 入场信号收盘在六均线上方，IMACD向上且增强，相对成交量5.94倍。 原账本最大浮盈0.07R；5分钟审计得到实际止损前浮盈范围0.07–0.07R（若上下界不同，触及止损的5分钟内先后未知）。 退出前最高收盘-0.12R，未收盘达到2R，原追踪未激活。 退出下一根起48根内，最高回到原入场-0.93R，最低到-3.66R。,当前事实不足以提出特定改法；先保留原规则作为对照。,binance_um:WIFUSDT:15m:box_any:13502
T079,FILUSDT,15m,2025-01-13 01:00:00+00:00,2025-01-13 02:30:00+00:00,,5.18,5.0654,5.0654,-1.0904013961605583,推进不足后止损,持仓第7根K，最低价5.038触及当时已生效保护价5.0654；按初始止损在5.0654退出，扣费后净-1.09R。,距V9 0根，较父V9独立模拟入场价+0.00%；初始风险2.21%（3.50个信号ATR），往返成本0.090R。 入场信号收盘在六均线上方，IMACD向上且增强，相对成交量3.05倍。 原账本最大浮盈0.18R；5分钟审计得到实际止损前浮盈范围0.18–0.18R（若上下界不同，触及止损的5分钟内先后未知）。 退出前最高收盘-0.14R，未收盘达到2R，原追踪未激活。 退出下一根起48根内，最高回到原入场-0.86R，最低到-5.06R。,当前事实不足以提出特定改法；先保留原规则作为对照。,binance_um:FILUSDT:15m:box_any:13503
T080,NEARUSDT,15m,2025-01-22 17:15:00+00:00,2025-01-22 23:00:00+00:00,,5.235,5.091,5.091,-1.072708333333332,推进不足后止损,持仓第24根K，最低价5.065触及当时已生效保护价5.091；按初始止损在5.091退出，扣费后净-1.07R。,距V9 0根，较父V9独立模拟入场价+0.00%；初始风险2.75%（3.33个信号ATR），往返成本0.073R。 入场信号收盘在六均线上方，IMACD向上且增强，相对成交量1.30倍。 原账本最大浮盈0.27R；5分钟审计得到实际止损前浮盈范围0.27–0.27R（若上下界不同，触及止损的5分钟内先后未知）。 退出前最高收盘0.12R，未收盘达到2R，原追踪未激活。 退出下一根起48根内，最高回到原入场-0.83R，最低到-2.37R。,当前事实不足以提出特定改法；先保留原规则作为对照。,binance_um:NEARUSDT:15m:box_any:14432
T081,ARUSDT,15m,2025-01-23 15:00:00+00:00,2025-01-23 18:15:00+00:00,,15.362,14.912,14.912,-1.0682755555555543,推进不足后止损,持仓第14根K，最低价14.883触及当时已生效保护价14.912；按初始止损在14.912退出，扣费后净-1.07R。,距V9 0根，较父V9独立模拟入场价+0.00%；初始风险2.93%（3.06个信号ATR），往返成本0.068R。 入场信号收盘在六均线上方，IMACD向上且增强，相对成交量4.94倍。 原账本最大浮盈0.22R；5分钟审计得到实际止损前浮盈范围0.22–0.22R（若上下界不同，触及止损的5分钟内先后未知）。 退出前最高收盘0.02R，未收盘达到2R，原追踪未激活。 退出下一根起48根内，最高回到原入场-0.25R，最低到-2.11R。,当前事实不足以提出特定改法；先保留原规则作为对照。,binance_um:ARUSDT:15m:box_any:14519
T082,OPUSDT,15m,2025-01-23 15:00:00+00:00,2025-01-23 15:15:00+00:00,,1.7178,1.6776700000000002,1.6776700000000002,-1.085611761774233,前三根止损,持仓第2根K，最低价1.6773触及当时已生效保护价1.67767；按初始止损在1.67767退出，扣费后净-1.09R。,距V9 0根，较父V9独立模拟入场价+0.00%；初始风险2.34%（2.84个信号ATR），往返成本0.086R。 入场信号收盘在六均线上方，IMACD向上且增强，相对成交量3.68倍。 原账本最大浮盈0.17R；5分钟审计得到实际止损前浮盈范围0.17–0.17R（若上下界不同，触及止损的5分钟内先后未知）。 退出前最高收盘-0.51R，未收盘达到2R，原追踪未激活。 退出下一根起48根内，最高回到原入场+0.53R，最低到-1.58R。,当前事实不足以提出特定改法；先保留原规则作为对照。,binance_um:OPUSDT:15m:box_any:14519
T083,OPUSDT,15m,2025-01-24 05:15:00+00:00,2025-01-25 00:30:00+00:00,,1.757,1.6904100000000002,1.6904100000000002,-1.0527706862892316,推进不足后止损,持仓第78根K，最低价1.6832触及当时已生效保护价1.69041；按初始止损在1.69041退出，扣费后净-1.05R。,距V9 0根，较父V9独立模拟入场价+0.00%；初始风险3.79%（3.61个信号ATR），往返成本0.053R。 入场信号收盘在六均线上方，IMACD向上且增强，相对成交量2.34倍。 原账本最大浮盈0.87R；5分钟审计得到实际止损前浮盈范围0.87–0.87R（若上下界不同，触及止损的5分钟内先后未知）。 退出前最高收盘0.81R，未收盘达到2R，原追踪未激活。 退出下一根起48根内，最高回到原入场-0.63R，最低到-1.79R。,当前事实不足以提出特定改法；先保留原规则作为对照。,binance_um:OPUSDT:15m:box_any:14576
T084,WIFUSDT,15m,2025-01-24 05:30:00+00:00,2025-01-24 20:30:00+00:00,,1.4395,1.3691,1.3691,-1.040894886363636,推进不足后止损,持仓第61根K，最低价1.368触及当时已生效保护价1.3691；按初始止损在1.3691退出，扣费后净-1.04R。,距V9 1根，较父V9独立模拟入场价+0.74%；初始风险4.89%（3.77个信号ATR），往返成本0.041R。 入场信号收盘在六均线上方，IMACD未同时满足向上和增强，相对成交量1.39倍。 原账本最大浮盈0.53R；5分钟审计得到实际止损前浮盈范围0.53–0.53R（若上下界不同，触及止损的5分钟内先后未知）。 退出前最高收盘0.45R，未收盘达到2R，原追踪未激活。 退出下一根起48根内，最高回到原入场-0.92R，最低到-3.05R。,已比V9入场更贵，需评估确认收益能否覆盖追价代价；突破当时支撑或动能不完整，但此前单加六均线门未改善全池，不能直接套门,binance_um:WIFUSDT:15m:box_any:14577
T085,APTUSDT,15m,2025-01-24 08:45:00+00:00,2025-01-24 21:00:00+00:00,,8.4965,8.2612,8.2612,-1.072218444538886,推进不足后止损,持仓第50根K，最低价8.2552触及当时已生效保护价8.2612；按初始止损在8.2612退出，扣费后净-1.07R。,距V9 0根，较父V9独立模拟入场价+0.00%；初始风险2.77%（3.12个信号ATR），往返成本0.072R。 入场信号收盘在六均线上方，IMACD向上且增强，相对成交量4.99倍。 原账本最大浮盈0.34R；5分钟审计得到实际止损前浮盈范围0.34–0.34R（若上下界不同，触及止损的5分钟内先后未知）。 退出前最高收盘0.29R，未收盘达到2R，原追踪未激活。 退出下一根起48根内，最高回到原入场-0.64R，最低到-1.95R。,当前事实不足以提出特定改法；先保留原规则作为对照。,binance_um:APTUSDT:15m:box_any:14590
T086,FILUSDT,15m,2025-01-24 11:15:00+00:00,2025-01-24 15:30:00+00:00,,5.153,5.0891,5.0891,-1.1612832550860706,推进不足后止损,持仓第18根K，最低价5.088触及当时已生效保护价5.0891；按初始止损在5.0891退出，扣费后净-1.16R。,距V9 20根，较父V9独立模拟入场价+0.45%；初始风险1.24%（2.03个信号ATR），往返成本0.161R。 入场信号收盘在六均线上方，IMACD向上且增强，相对成交量1.77倍。 原账本最大浮盈0.75R；5分钟审计得到实际止损前浮盈范围0.75–0.75R（若上下界不同，触及止损的5分钟内先后未知）。 退出前最高收盘0.67R，未收盘达到2R，原追踪未激活。 退出下一根起48根内，最高回到原入场+0.17R，最低到-3.60R。,已比V9入场更贵，需评估确认收益能否覆盖追价代价,binance_um:FILUSDT:15m:box_any:14600
T087,ARUSDT,15m,2025-01-24 14:45:00+00:00,2025-01-24 15:15:00+00:00,,15.135,14.921,14.921,-1.1414485981308402,前三根止损,持仓第3根K，最低价14.836触及当时已生效保护价14.921；按初始止损在14.921退出，扣费后净-1.14R。,距V9 37根，较父V9独立模拟入场价+0.65%；初始风险1.41%（1.98个信号ATR），往返成本0.141R。 入场信号收盘在六均线上方，IMACD未同时满足向上和增强，相对成交量4.99倍。 原账本最大浮盈0.10R；5分钟审计得到实际止损前浮盈范围0.10–0.10R（若上下界不同，触及止损的5分钟内先后未知）。 退出前最高收盘-0.59R，未收盘达到2R，原追踪未激活。 退出下一根起48根内，最高回到原入场-0.71R，最低到-5.29R。,已比V9入场更贵，需评估确认收益能否覆盖追价代价；突破当时支撑或动能不完整，但此前单加六均线门未改善全池，不能直接套门,binance_um:ARUSDT:15m:box_any:14614
T088,JUPUSDT,15m,2025-01-30 04:15:00+00:00,2025-01-30 06:00:00+00:00,,1.1429,1.1133,1.1133,-1.0772229729729734,推进不足后止损,持仓第8根K，最低价1.1126触及当时已生效保护价1.1133；按初始止损在1.1133退出，扣费后净-1.08R。,距V9 6根，较父V9独立模拟入场价+0.65%；初始风险2.59%（2.01个信号ATR），往返成本0.077R。 入场信号收盘在六均线上方，IMACD向上且增强，相对成交量0.87倍。 原账本最大浮盈0.46R；5分钟审计得到实际止损前浮盈范围0.46–0.46R（若上下界不同，触及止损的5分钟内先后未知）。 退出前最高收盘0.30R，未收盘达到2R，原追踪未激活。 退出下一根起48根内，最高回到原入场-0.54R，最低到-2.21R。,已比V9入场更贵，需评估确认收益能否覆盖追价代价,binance_um:JUPUSDT:15m:box_any:15148
T089,ZENUSDT,15m,2025-01-30 09:45:00+00:00,2025-01-30 23:45:00+00:00,,19.172,18.606,19.303,0.1637031802120162,盈利保护退出,持仓第57根K，最低价19.303触及当时已生效保护价19.303；按追踪止损在19.303退出，扣费后净+0.16R。,距V9 0根，较父V9独立模拟入场价+0.00%；初始风险2.95%（3.38个信号ATR），往返成本0.068R。 入场信号收盘在六均线上方，IMACD向上且增强，相对成交量3.56倍。 原账本最大浮盈2.29R；5分钟审计得到实际止损前浮盈范围2.29–2.29R（若上下界不同，触及止损的5分钟内先后未知）。 已收盘触及2R并激活追踪；退出时保护在入场价+0.23R，激活不保证保本。 退出下一根起48根内，最高回到原入场+0.95R，最低到-0.89R。,作为盈利对照保留：任何更早止盈/更严过滤都需计算会损失多少这类赢家,binance_um:ZENUSDT:15m:box_any:15170
T090,BTCUSDT,15m,2025-02-06 09:30:00+00:00,2025-02-06 14:30:00+00:00,,98428.3,97824.0,97824.0,-1.3257597219923858,到过1R后回吐,持仓第21根K，最低价97712.7触及当时已生效保护价97824；按初始止损在97824退出，扣费后净-1.33R。,距V9 1根，较父V9独立模拟入场价-0.18%；初始风险0.61%（2.16个信号ATR），往返成本0.326R。 入场信号收盘在六均线上方，IMACD向上且增强，相对成交量2.08倍。 原账本最大浮盈1.10R；5分钟审计得到实际止损前浮盈范围1.10–1.10R（若上下界不同，触及止损的5分钟内先后未知）。 退出前最高收盘0.91R，未收盘达到2R，原追踪未激活。 退出下一根起48根内，最高回到原入场-0.12R，最低到-4.66R。,当前事实不足以提出特定改法；先保留原规则作为对照。,binance_um:BTCUSDT:15m:box_any:15841
T091,ONEUSDT,15m,2025-02-08 18:00:00+00:00,2025-02-09 13:45:00+00:00,,0.01414,0.013824,0.0145373999999999,1.1681012658227763,盈利保护退出,持仓第80根K，最低价0.01445触及当时已生效保护价0.0145374；按追踪止损在0.0145374退出，扣费后净+1.17R。,距V9 5根，较父V9独立模拟入场价+1.73%；初始风险2.23%（2.44个信号ATR），往返成本0.089R。 入场信号收盘在六均线上方，IMACD向上且增强，相对成交量0.65倍。 原账本最大浮盈2.94R；5分钟审计得到实际止损前浮盈范围2.94–2.94R（若上下界不同，触及止损的5分钟内先后未知）。 已收盘触及2R并激活追踪；退出时保护在入场价+1.26R，激活不保证保本。 退出下一根起48根内，最高回到原入场+2.31R，最低到-1.46R。,已比V9入场更贵，需评估确认收益能否覆盖追价代价；作为盈利对照保留：任何更早止盈/更严过滤都需计算会损失多少这类赢家,binance_um:ONEUSDT:15m:box_any:16067
T092,SOLUSDT,15m,2025-02-09 03:00:00+00:00,2025-02-09 09:00:00+00:00,,201.42,199.39,202.16,0.1660886699507356,盈利保护退出,持仓第25根K，最低价201.7触及当时已生效保护价202.16；按追踪止损在202.16退出，扣费后净+0.17R。,距V9 66根，较父V9独立模拟入场价+3.60%；初始风险1.01%（2.01个信号ATR），往返成本0.198R。 入场信号收盘在六均线上方，IMACD向上且增强，相对成交量0.72倍。 原账本最大浮盈2.88R；5分钟审计得到实际止损前浮盈范围2.88–2.88R（若上下界不同，触及止损的5分钟内先后未知）。 已收盘触及2R并激活追踪；退出时保护在入场价+0.36R，激活不保证保本。 退出下一根起48根内，最高回到原入场+0.64R，最低到-2.52R。,等待超过48根，需检验突破时原启动结构是否已失效；已比V9入场更贵，需评估确认收益能否覆盖追价代价；作为盈利对照保留：任何更早止盈/更严过滤都需计算会损失多少这类赢家,binance_um:SOLUSDT:15m:box_any:16103
T093,NEARUSDT,15m,2025-02-09 03:45:00+00:00,2025-02-09 12:30:00+00:00,,3.364,3.29,3.29,-1.09091891891892,到过1R后回吐,持仓第36根K，最低价3.29触及当时已生效保护价3.29；按初始止损在3.29退出，扣费后净-1.09R。,距V9 19根，较父V9独立模拟入场价+1.60%；初始风险2.20%（2.96个信号ATR），往返成本0.091R。 入场信号收盘在六均线上方，IMACD向上且增强，相对成交量2.60倍。 原账本最大浮盈1.49R；5分钟审计得到实际止损前浮盈范围1.49–1.49R（若上下界不同，触及止损的5分钟内先后未知）。 退出前最高收盘1.31R，未收盘达到2R，原追踪未激活。 退出下一根起48根内，最高回到原入场-0.72R，最低到-4.50R。,已比V9入场更贵，需评估确认收益能否覆盖追价代价,binance_um:NEARUSDT:15m:box_any:16106
T094,JUPUSDT,15m,2025-02-10 14:15:00+00:00,2025-02-10 22:45:00+00:00,,0.849,0.8307,0.8307,-1.0927868852459035,推进不足后止损,持仓第35根K，最低价0.8302触及当时已生效保护价0.8307；按初始止损在0.8307退出，扣费后净-1.09R。,距V9 1根，较父V9独立模拟入场价-1.13%；初始风险2.16%（2.22个信号ATR），往返成本0.093R。 入场信号收盘在六均线上方，IMACD向上且增强，相对成交量3.20倍。 原账本最大浮盈0.66R；5分钟审计得到实际止损前浮盈范围0.66–0.66R（若上下界不同，触及止损的5分钟内先后未知）。 退出前最高收盘0.31R，未收盘达到2R，原追踪未激活。 退出下一根起48根内，最高回到原入场+1.44R，最低到-1.14R。,退出后48根内曾回到+1R；属事后重启机会，不能证明放宽原止损会赚钱,binance_um:JUPUSDT:15m:box_any:16244
